Title,Number of Reviews,Rating,Bought Last Month,Price After Discount,MRP,Image URL,Product ID,5 Star Percentage,4 Star Percentage,3 Star Percentage,2 Star Percentage,1 Star Percentage,Bought Last Month (Numeric)
"Kreo (New & Improved) Mirage Wireless RGB Gaming Controller For PC, Android, iOS, PS4, Programmable Buttons, Dual motor force, Haptic Feedback, USB C & B Zero-Lag Connectivity (Not compatible with PS5)",294,3.8,200+ bought in past month,2799.0,3500.0,https://m.media-amazon.com/images/I/61olkPcoXEL._AC_UY218_.jpg,43,53%,15%,8%,7%,17%,200
"Cosmic Byte Ares Pro Wireless Gamepad for PC, Android, iOS – Tri-Mode (2.4GHz, Bluetooth, Wired), Hall Effect Joysticks & Triggers, 1000Hz Polling, Backlit Buttons, Turbo, Macro Button, 3.5mm Audio Port (Black)",1,1.0,,2299.0,4499.0,https://m.media-amazon.com/images/I/510YqdowdQL._AC_UY218_.jpg,44,0%,0%,0%,0%,100%,0
Ant Esports GP165 Wired Controller with Hall Effect Magnetic Triggers for PC/PS3/Android (Black/Grey),44,3.9,100+ bought in past month,1099.0,2499.0,https://m.media-amazon.com/images/I/71KmNMkigoL._AC_UY218_.jpg,45,61%,14%,6%,0%,19%,100
"Microsoft Xbox Wireless Controller for Xbox Series X|S, Xbox One, and Windows Devices - Pulse Red",551,4.4,50+ bought in past month,5990.0,6590.0,https://m.media-amazon.com/images/I/71KoRdQ6I6L._AC_UY218_.jpg,46,70%,19%,4%,2%,5%,50
"EvoFox Elite Ops Wired Gaming Controller for PC, Android TV and PS3 with 2.4m Long Cable | Dual Vibration Rumble Motors | Zero Lag Connectivity with Plug and Play functionality |2.4m Long Cable, X-Input & D-Input | Black",99,4.0,200+ bought in past month,929.0,1499.0,https://m.media-amazon.com/images/I/61VopX4s6qL._AC_UY218_.jpg,47,52%,29%,4%,3%,12%,200
"EvoFox One Universal Bluetooth Gaming Controller For PC, iOS, iPadOS, Android and PS4, Dynamic Rgb Lights, Transparent Design Gamepad, Programable Buttons, Turbo Mode with The Dojo App, Detachable Mobile Clamp, and More",1075,4.1,300+ bought in past month,2399.0,3499.0,https://m.media-amazon.com/images/I/619Fbqq3yxL._AC_UY218_.jpg,48,61%,18%,6%,4%,11%,300
"ZEBRONICS MAX LINK Wireless Gamepad, Dual motors Haptic feedback, Built-in rechargeable battery, RGB light, Plug & play, Supports (Windows | Android)",1198,4.1,400+ bought in past month,1699.0,2999.0,https://m.media-amazon.com/images/I/71c-5eoknFL._AC_UY218_.jpg,49,59%,20%,5%,3%,13%,400
"Kreo (New & Improved) Mirage Wireless RGB Gaming Controller For PC, Android, iOS, PS4, Programmable Buttons, Dual motor force, Haptic Feedback, USB C & B Zero-Lag Connectivity (Not compatible with PS5)",294,3.8,200+ bought in past month,2799.0,3500.0,https://m.media-amazon.com/images/I/61olkPcoXEL._AC_UY218_.jpg,50,53%,15%,8%,7%,17%,200
"Ninjadog Astra One Hall-E: Hall Effect Gaming Controller for PC and Nintendo Switch, Linear Motors for HD rumble, analog triggers, NFC support, Soft Touch materials & more",16,3.9,,3999.0,8999.0,https://m.media-amazon.com/images/I/61HlgwRzLSL._AC_UY218_.jpg,51,72%,0%,0%,7%,21%,0
"Zulaxy Anti Vibration Pads for Washing Machine with Suction Cup for Washing Machines Fridge Dryer Levelling Feet Anti-Walk, Anti-Skid,Anti-Vibration and Noise Cancellation (4 Pack)",0,3.9,,229.0,57.25,,52,51%,20%,10%,5%,14%,0
"EvoFox Elite X2 Wireless Gaming Controller For PC, Dual-Mode (2.4G & Type C), Hallsense™ Magnetic Hall 3D Joysticks & Triggers Gamepad, EZ Click Macros, New Precision & Turbo Mode, Dual Vibration Motors(Grey)",1075,4.1,600+ bought in past month,1799.0,2499.0,https://m.media-amazon.com/images/I/61RsilGqZFL._AC_UY218_.jpg,53,61%,18%,6%,4%,11%,600
CLAW Shoot Wired USB Gamepad Controller for PC supports Windows XP/7/8/10 with Rubberized Textured Grip and Dual Vibration Motors,4231,3.9,100+ bought in past month,990.0,1490.0,https://m.media-amazon.com/images/I/71yMQTptEnL._AC_UY218_.jpg,54,50%,22%,11%,4%,13%,100
