Title,Number_of_Reviews,Rating,Bought_Last_Month,Price_After_Discount,MRP,Image_URL,Product_ID,Star_Rating_Percentage
"boAt New Launch Rockerz 650 Pro, Touch/Swipe Controls, Dolby Audio, 80Hrs Battery, 2Mics ENx, Fast Charge, App Support, Dual Pair, Bluetooth Over Ear Headphones with Mic (Iris Black)",807,"4.3 out of 5 stars, rating details",2K+ bought in past month,"2,299","₹8,990",https://m.media-amazon.com/images/I/61-XNG5lPBL._AC_UY218_.jpg,29,"{5: '69%', 4: '15%', 3: '4%', 2: '2%', 1: '10%'}"
"ZEBRONICS Thunder Max Bluetooth Over Ear Headphone with 120*Hrs Playback, 3 EQ Modes, 40mm Bass Driver, Fast Charging, Gaming Mode, Dual Pairing, BT v5.4, AUX, Metallic Finish (Black)",392,"3.9 out of 5 stars, rating details",500+ bought in past month,999,"₹2,499",https://m.media-amazon.com/images/I/61qhVikQ-kL._AC_UY218_.jpg,30,"{5: '58%', 4: '15%', 3: '8%', 2: '4%', 1: '15%'}"
"ZEBRONICS Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible (Green)","60,911","3.4 out of 5 stars, rating details",5K+ bought in past month,141,"₹1,007.14",https://m.media-amazon.com/images/I/61+0KSoFrOL._AC_UY218_.jpg,31,"{5: '38%', 4: '20%', 3: '14%', 2: '8%', 1: '20%'}"
"boAt Rockerz 650 Pro (2025 Launch),Touch/Swipe Controls,Dolby Audio,80Hrs Battery,2Mics Enx,Fast Charge,App Support,Dual Pair,Bluetooth Over Ear Headphones,Wireless Headphone with Mic (Sage Green)",807,"4.3 out of 5 stars, rating details",1K+ bought in past month,"2,299","₹8,990",https://m.media-amazon.com/images/I/51o1ooDqHwL._AC_UY218_.jpg,32,"{5: '69%', 4: '15%', 3: '4%', 2: '2%', 1: '10%'}"
"Boult Q Over Ear Bluetooth Headphones with 70H Playtime, 40mm Bass Drivers, Zen™ ENC Mic, Type-C Fast Charging, 4 EQ Modes, BTv 5.4, AUX Option, Easy Control, IPX5 headphones wireless with mic (Black)","3,426","4.1 out of 5 stars, rating details",4K+ bought in past month,"1,599","₹5,999",https://m.media-amazon.com/images/I/71zfpkr4bYL._AC_UY218_.jpg,33,"{5: '58%', 4: '21%', 3: '7%', 2: '2%', 1: '12%'}"
"boAt Rockerz 480 W/RGB LEDs, 6 Light Modes, 40Mm Drivers, Beast Mode, 60Hrs Playback, Enx Tech, BT V5.3, Adaptive Fit & Easy Access Controls, Bluetooth Over Ear Headphones(Black Sabre)","1,509","4.1 out of 5 stars, rating details",5K+ bought in past month,"1,499","₹3,790",https://m.media-amazon.com/images/I/711l4y8aNlL._AC_UY218_.jpg,34,"{5: '63%', 4: '16%', 3: '6%', 2: '2%', 1: '13%'}"
"boAt Rockerz 550/Rockerz 558 Over Ear Bluetooth Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation(Black)","67,887","4.0 out of 5 stars, rating details",3K+ bought in past month,"1,599","₹4,999",https://m.media-amazon.com/images/I/61gYxcIGjvL._AC_UY218_.jpg,35,"{5: '53%', 4: '24%', 3: '9%', 2: '4%', 1: '10%'}"
"boAt New Launch Rockerz 650 Pro, Touch/Swipe Controls, Dolby Audio, 80Hrs Battery, 2Mics ENx, Fast Charge, App Support, Dual Pair, Bluetooth Over Ear Headphones with Mic (Iris Black)",807,"4.3 out of 5 stars, rating details",2K+ bought in past month,"2,299","₹8,990",https://m.media-amazon.com/images/I/61-XNG5lPBL._AC_UY218_.jpg,36,"{5: '69%', 4: '15%', 3: '4%', 2: '2%', 1: '10%'}"
Marshall Major IV Wireless Bluetooth On Ear Headphone with Mic (Black),"13,409","4.3 out of 5 stars, rating details",500+ bought in past month,"8,997","₹14,999",https://m.media-amazon.com/images/I/71mTfSKhhTL._AC_UY218_.jpg,37,"{5: '69%', 4: '15%', 3: '6%', 2: '2%', 1: '8%'}"
"Sony WH-1000XM5 Best Active Noise Cancelling Wireless Bluetooth Over Ear Headphones with Mic for Clear Calling,Battery Life 30 Hours -Black","15,586","4.4 out of 5 stars, rating details",400+ bought in past month,"24,989","₹34,990",https://m.media-amazon.com/images/I/51aXvjzcukL._AC_UY218_.jpg,38,"{5: '72%', 4: '15%', 3: '5%', 2: '2%', 1: '6%'}"
"ZEBRONICS Envy 2, Wireless Over Ear Headphone, ENC, Upto 65* Hours Playback, Gaming Mode, Dual Pairing, Bluetooth v5.3, AUX, Call Function, Voice Assistant, Foldable Design, Detachable Mic (Black)",96,"3.6 out of 5 stars, rating details",200+ bought in past month,"1,399","₹3,299",https://m.media-amazon.com/images/I/71+0DeLcfNL._AC_UY218_.jpg,39,"{5: '48%', 4: '18%', 3: '8%', 2: '4%', 1: '22%'}"
"ZEBRONICS Duke Plus, Wireless Over Ear Headphone with ANC, ENC, Gaming Mode, Dual Pairing, Rapid Charge, Upto 70* Hours Backup, Bluetooth v5.4, AUX, Comfortable Earcushion, Deep Bass (Black)","15,227","3.7 out of 5 stars, rating details",200+ bought in past month,"1,499","₹7,999",https://m.media-amazon.com/images/I/619w5E8UpbL._AC_UY218_.jpg,40,"{5: '45%', 4: '23%', 3: '12%', 2: '5%', 1: '15%'}"
"Sony WH-CH720N Active Noise Cancellation Wireless Bluetooth Over Ear Headphones with Mic, Adaptive Sound Control, Quick Charge, Up to 35Hrs Battery, Customized EQ- Blue","10,941","4.2 out of 5 stars, rating details",500+ bought in past month,"7,989","₹14,990",https://m.media-amazon.com/images/I/61zWFqX+krL._AC_UY218_.jpg,41,"{5: '63%', 4: '20%', 3: '7%', 2: '2%', 1: '8%'}"
"Bose New QuietComfort Wireless Noise Cancelling Headphones, Bluetooth Over Ear Headphones with Up to 24 Hours of Battery Life - Black","7,758","4.4 out of 5 stars, rating details",100+ bought in past month,"20,989","₹27,900",https://m.media-amazon.com/images/I/51f7KKP25PL._AC_UY218_.jpg,42,"{5: '74%', 4: '11%', 3: '4%', 2: '4%', 1: '7%'}"
"Boult Newly Launched Soniq Over Ear Bluetooth Headphones with 70H Playtime, 40mm Bass Drivers, Zen™ ENC Mic, Type-C Fast Charging, Dual Device Pairing, BTv 5.4, AUX Option, Wireless Headphones (Black)",16,"4.2 out of 5 stars, rating details",null,"1,799","₹5,999",https://m.media-amazon.com/images/I/71TvZ94sxUL._AC_UY218_.jpg,43,"{5: '78%', 4: '0%', 3: '0%', 2: '8%', 1: '14%'}"
"ZEBRONICS Jet Premium Wired Gaming On Ear Headphone with LED Light for earcups, 40mm Neodymium Drivers, 2 Meter Braided Cable, Flexible mic, Suspension Headband, 3.5mm + USB Connector (Black + Blue)",982,"3.7 out of 5 stars, rating details",1K+ bought in past month,683,"₹1,699",https://m.media-amazon.com/images/I/71D1EB5iDzL._AC_UY218_.jpg,44,"{5: '48%', 4: '21%', 3: '9%', 2: '6%', 1: '16%'}"
Ant Esports H520W Lightweight Gaming Over Ear Wired Headphones with Mic| 3.5MM Jack |50 MM Drivers | Compatible with PC/ PS4 / Xbox One/Nintendo/Mobile (Black),"3,461","3.8 out of 5 stars, rating details",500+ bought in past month,685,"₹2,999",https://m.media-amazon.com/images/I/619AANS3KaL._AC_UY218_.jpg,45,"{5: '47%', 4: '22%', 3: '13%', 2: '5%', 1: '13%'}"
"boAt Rockerz 650 Pro (2025 Launch),Touch/Swipe Controls,Dolby Audio,80Hrs Battery,2Mics Enx,Fast Charge,App Support,Dual Pair,Bluetooth Over Ear Headphones,Wireless Headphone with Mic (Starry Night)",807,"4.3 out of 5 stars, rating details",1K+ bought in past month,"2,299","₹8,990",https://m.media-amazon.com/images/I/61faDMBMdmL._AC_UY218_.jpg,46,"{5: '69%', 4: '15%', 3: '4%', 2: '2%', 1: '10%'}"
"JBL Tune 770NC Wireless Over Ear ANC Headphones with Mic, Upto 70 Hrs Battery, Speed Charge : 5 min Charge Gives up to 3H of Playback, Google Fast Pair, Dual Pairing, BT 5.3 (Black)","22,880","4.0 out of 5 stars, rating details",1K+ bought in past month,"4,999","₹9,999",https://m.media-amazon.com/images/I/61KmeiNKw3L._AC_UY218_.jpg,47,"{5: '53%', 4: '23%', 3: '7%', 2: '4%', 1: '13%'}"
"Noise Two Wireless On Ear Headphones with 50 Hours Playtime, Low Latency(up to 40ms), 4 Play Modes, Dual Pairing, BT v5.3 (Calm White)","3,512","3.5 out of 5 stars, rating details",400+ bought in past month,"1,399","₹4,999",https://m.media-amazon.com/images/I/51lD6jgEytL._AC_UY218_.jpg,48,"{5: '42%', 4: '19%', 3: '10%', 2: '6%', 1: '23%'}"
"ZEBRONICS THUNDER Bluetooth 5.3 Wireless Headphones with 60H Backup, Gaming Mode, Dual Pairing, ENC, AUX, Micro SD, Voice assistant, Comfortable Earcups, Call Function(Black)","25,077","3.7 out of 5 stars, rating details",2K+ bought in past month,649,"₹1,199",https://m.media-amazon.com/images/I/618-45t0P5L._AC_UY218_.jpg,49,"{5: '43%', 4: '24%', 3: '14%', 2: '5%', 1: '14%'}"
"boAt Rockerz 480 W/RGB LEDs, 6 Light Modes, 40Mm Drivers, Beast Mode, 60Hrs Playback, Enx Tech, BT V5.3, Adaptive Fit & Easy Access Controls, Bluetooth Over Ear Headphones(Black Sabre)","1,509","4.1 out of 5 stars, rating details",5K+ bought in past month,"1,499","₹3,790",https://m.media-amazon.com/images/I/711l4y8aNlL._AC_UY218_.jpg,50,"{5: '63%', 4: '16%', 3: '6%', 2: '2%', 1: '13%'}"
