Title,Number_of_Reviews,Rating,Bought_Last_Month,Price_After_Discount,MRP,Image_URL,Product_ID,Star_Rating_Percentage
"EvoFox Elite X2 Wireless Gaming Controller For PC, Dual-Mode (2.4G & Type C), Hallsense™ Magnetic Hall 3D Joysticks & Triggers Gamepad, EZ Click Macros, New Precision & Turbo Mode, Dual Vibration Motors(Blue)","1,075","4.1 out of 5 stars, rating details",300+ bought in past month,"1,799","₹2,499",https://m.media-amazon.com/images/I/61jBlflAQML._AC_UY218_.jpg,39,"{5: '61%', 4: '18%', 3: '6%', 2: '4%', 1: '11%'}"
"PowerA Advantage Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Pink Lemonade, Pink/Yellow (Officially Licensed)","3,609","4.2 out of 5 stars, rating details",null,"2,999","₹2,99,900",https://m.media-amazon.com/images/I/61TK0ecvyBL._AC_UY218_.jpg,40,"{5: '61%', 4: '20%', 3: '6%', 2: '3%', 1: '10%'}"
Singh Packagings - Twin Vibration Wireless Analog Controller Compatible for PS2/PS1/PSX - 2.4G Dual Vibration Gamepad Remote Joypad with Receiver- Compatible with Playstation2 (Batteries Not Included),44,"3.9 out of 5 stars, rating details",null,845,"₹1,499",https://m.media-amazon.com/images/I/41cwwZ0b0AL._AC_UY218_.jpg,41,"{5: '49%', 4: '27%', 3: '9%', 2: '0%', 1: '15%'}"
"Ant Esports GP300 Pro V2 Wireless Gaming Controller, Compatible for PC & Laptop (Windows 10/8 /7 XP, Steam) / PS3","1,874","3.9 out of 5 stars, rating details",100+ bought in past month,"1,179","₹2,999",https://m.media-amazon.com/images/I/51JJKyRFcUL._AC_UY218_.jpg,42,"{5: '50%', 4: '22%', 3: '12%', 2: '5%', 1: '11%'}"
"Kreo (New & Improved) Mirage Wireless RGB Gaming Controller For PC, Android, iOS, PS4, Programmable Buttons, Dual motor force, Haptic Feedback, USB C & B Zero-Lag Connectivity (Not compatible with PS5)",294,"3.8 out of 5 stars, rating details",200+ bought in past month,"2,799","₹3,500",https://m.media-amazon.com/images/I/61olkPcoXEL._AC_UY218_.jpg,43,"{5: '53%', 4: '15%', 3: '8%', 2: '7%', 1: '17%'}"
"Cosmic Byte Ares Pro Wireless Gamepad for PC, Android, iOS – Tri-Mode (2.4GHz, Bluetooth, Wired), Hall Effect Joysticks & Triggers, 1000Hz Polling, Backlit Buttons, Turbo, Macro Button, 3.5mm Audio Port (Black)",1,"1.0 out of 5 stars, rating details",null,"2,299","₹4,499",https://m.media-amazon.com/images/I/510YqdowdQL._AC_UY218_.jpg,44,"{5: '0%', 4: '0%', 3: '0%', 2: '0%', 1: '100%'}"
Ant Esports GP165 Wired Controller with Hall Effect Magnetic Triggers for PC/PS3/Android (Black/Grey),44,"3.9 out of 5 stars, rating details",100+ bought in past month,"1,099","₹2,499",https://m.media-amazon.com/images/I/71KmNMkigoL._AC_UY218_.jpg,45,"{5: '61%', 4: '14%', 3: '6%', 2: '0%', 1: '19%'}"
"Microsoft Xbox Wireless Controller for Xbox Series X|S, Xbox One, and Windows Devices - Pulse Red",551,"4.4 out of 5 stars, rating details",50+ bought in past month,"5,990","₹6,590",https://m.media-amazon.com/images/I/71KoRdQ6I6L._AC_UY218_.jpg,46,"{5: '70%', 4: '19%', 3: '4%', 2: '2%', 1: '5%'}"
"EvoFox Elite Ops Wired Gaming Controller for PC, Android TV and PS3 with 2.4m Long Cable | Dual Vibration Rumble Motors | Zero Lag Connectivity with Plug and Play functionality |2.4m Long Cable, X-Input & D-Input | Black",99,"4.0 out of 5 stars, rating details",200+ bought in past month,929,"₹1,499",https://m.media-amazon.com/images/I/61VopX4s6qL._AC_UY218_.jpg,47,"{5: '52%', 4: '29%', 3: '4%', 2: '3%', 1: '12%'}"
"EvoFox One Universal Bluetooth Gaming Controller For PC, iOS, iPadOS, Android and PS4, Dynamic Rgb Lights, Transparent Design Gamepad, Programable Buttons, Turbo Mode with The Dojo App, Detachable Mobile Clamp, and More","1,075","4.1 out of 5 stars, rating details",300+ bought in past month,"2,399","₹3,499",https://m.media-amazon.com/images/I/619Fbqq3yxL._AC_UY218_.jpg,48,"{5: '61%', 4: '18%', 3: '6%', 2: '4%', 1: '11%'}"
"ZEBRONICS MAX LINK Wireless Gamepad, Dual motors Haptic feedback, Built-in rechargeable battery, RGB light, Plug & play, Supports (Windows | Android)","1,198","4.1 out of 5 stars, rating details",400+ bought in past month,"1,699","₹2,999",https://m.media-amazon.com/images/I/71c-5eoknFL._AC_UY218_.jpg,49,"{5: '59%', 4: '20%', 3: '5%', 2: '3%', 1: '13%'}"
"Kreo (New & Improved) Mirage Wireless RGB Gaming Controller For PC, Android, iOS, PS4, Programmable Buttons, Dual motor force, Haptic Feedback, USB C & B Zero-Lag Connectivity (Not compatible with PS5)",294,"3.8 out of 5 stars, rating details",200+ bought in past month,"2,799","₹3,500",https://m.media-amazon.com/images/I/61olkPcoXEL._AC_UY218_.jpg,50,"{5: '53%', 4: '15%', 3: '8%', 2: '7%', 1: '17%'}"
"Ninjadog Astra One Hall-E: Hall Effect Gaming Controller for PC and Nintendo Switch, Linear Motors for HD rumble, analog triggers, NFC support, Soft Touch materials & more",16,"3.9 out of 5 stars, rating details",null,"3,999","₹8,999",https://m.media-amazon.com/images/I/61HlgwRzLSL._AC_UY218_.jpg,51,"{5: '72%', 4: '0%', 3: '0%', 2: '7%', 1: '21%'}"
"Zulaxy Anti Vibration Pads for Washing Machine with Suction Cup for Washing Machines Fridge Dryer Levelling Feet Anti-Walk, Anti-Skid,Anti-Vibration and Noise Cancellation (4 Pack)",null,"3.9 out of 5 stars, rating details",null,229,₹57.25,null,52,"{5: '51%', 4: '20%', 3: '10%', 2: '5%', 1: '14%'}"
"EvoFox Elite X2 Wireless Gaming Controller For PC, Dual-Mode (2.4G & Type C), Hallsense™ Magnetic Hall 3D Joysticks & Triggers Gamepad, EZ Click Macros, New Precision & Turbo Mode, Dual Vibration Motors(Grey)","1,075","4.1 out of 5 stars, rating details",600+ bought in past month,"1,799","₹2,499",https://m.media-amazon.com/images/I/61RsilGqZFL._AC_UY218_.jpg,53,"{5: '61%', 4: '18%', 3: '6%', 2: '4%', 1: '11%'}"
CLAW Shoot Wired USB Gamepad Controller for PC supports Windows XP/7/8/10 with Rubberized Textured Grip and Dual Vibration Motors,"4,231","3.9 out of 5 stars, rating details",100+ bought in past month,990,"₹1,490",https://m.media-amazon.com/images/I/71yMQTptEnL._AC_UY218_.jpg,54,"{5: '50%', 4: '22%', 3: '11%', 2: '4%', 1: '13%'}"
"Jio Bluetooth Game Controller Set-Top Box, Android TV & Phone, Long Battery upto 8 hrs, Matte Finish, Minimal Lag, Ergonomic Design, Pressure Triggers, Dual Haptic Motor, Ultralight | JGC100",67,"3.9 out of 5 stars, rating details",300+ bought in past month,"1,499","₹4,499",https://m.media-amazon.com/images/I/51-2aMuQBmL._AC_UY218_.jpg,55,"{5: '55%', 4: '14%', 3: '11%', 2: '7%', 1: '13%'}"
"Xbox Wireless Controller, Robot White",92,"4.4 out of 5 stars, rating details",null,"5,290","₹5,990",https://m.media-amazon.com/images/I/51ilQN1AEnL._AC_UY218_.jpg,56,"{5: '77%', 4: '9%', 3: '6%', 2: '1%', 1: '7%'}"
"PowerA Battle Dragon™ Advanced Wireless Controller for PC & Cloud Gaming: Magnetic Hall Effect, Asymmetric Rumble Motors, 30h Playtime (Not for iOS)","22,975","3.8 out of 5 stars, rating details",null,"3,899","₹6,799",https://m.media-amazon.com/images/I/71MzVnBdbgL._AC_UY218_.jpg,57,"{5: '55%', 4: '16%', 3: '8%', 2: '4%', 1: '17%'}"
"GameSir Cyclone 2 Wireless Controller for PC/Switch/Android/iOS, 1000Hz Polling Rate, TMR Joysticks, Hall/Micro 2-in-1 Triggers，PC Gaming Controller with Charging Dock (Black)",1,"5.0 out of 5 stars, rating details",null,"5,949","₹5,94,900",https://m.media-amazon.com/images/I/5193+FaPk2L._AC_UY218_.jpg,58,"{5: '100%', 4: '0%', 3: '0%', 2: '0%', 1: '0%'}"
"Cosmic Byte Quantum Gamepad Dual Model Bluetooth+ Wired for PS4, PC, iOS, Android, Nintendo Switch, Hall Effect Triggers and Joystick, Touchpad, Speaker, 1000mAH Battery (Transparent Black)",98,"3.9 out of 5 stars, rating details",200+ bought in past month,"2,799","₹5,999",https://m.media-amazon.com/images/I/61qhzKDHQgL._AC_UY218_.jpg,59,"{5: '58%', 4: '16%', 3: '5%', 2: '6%', 1: '15%'}"
"EvoFox Deck Smartphone Gamepad with iPhone/Android, XBOX, HID & Keymap mode for Android | Bluetooth v5.0 | Dual Vibration motors | Magnetic Hall 3D Joysticks | RGB Lighting and Backlit Controls",415,"4.0 out of 5 stars, rating details",200+ bought in past month,"2,799","₹4,299",https://m.media-amazon.com/images/I/61frvUsCIyL._AC_UY218_.jpg,60,"{5: '60%', 4: '16%', 3: '6%', 2: '4%', 1: '14%'}"
